1. open,2. high,3. low,4. close,5. volume,symbol
135.2,135.2,135.2,135.2,234609.0,A
135.2,135.2,135.2,135.2,234609.0,A
135.01,135.01,135.01,135.01,1.0,A
135.0,135.0,133.59,133.59,2.0,A
134.1,135.2,134.1,135.2,7.0,A
135.2,135.2,135.2,135.2,18.0,A
135.2,135.2,135.2,135.2,53.0,A
135.2,135.2,135.0,135.0,235140.0,A
135.2,135.2,133.35,135.2,2988.0,A
135.2,135.23,135.2,135.2,733432.0,A
135.03,135.265,134.04,135.2,166408.0,A
135.18,135.28,134.95,135.08,60913.0,A
135.06,135.325,134.96,135.17,77439.0,A
135.05,135.07,134.93,135.06,37521.0,A
135.17,135.2299,135.05,135.06,20789.0,A
134.98,135.28,134.951,135.2,19470.0,A
135.175,135.18,134.97,135.0,22997.0,A
134.865,135.2025,134.865,135.15,26483.0,A
135.01,135.01,134.83,134.865,18025.0,A
134.775,135.03,134.77,135.02,17554.0,A
134.61,134.78,134.59,134.775,30723.0,A
134.1,134.53,134.05,134.53,44580.0,A
134.21,134.245,134.08,134.11,16403.0,A
134.06,134.285,134.045,134.285,12834.0,A
134.07,134.12,134.01,134.02,10449.0,A
134.0,134.08,133.96,134.05,19945.0,A
134.24,134.2884,134.0,134.02,24643.0,A
134.195,134.33,134.14,134.285,12093.0,A
134.32,134.38,134.14,134.14,14490.0,A
134.265,134.34,134.14,134.305,11318.0,A
134.27,134.38,134.16,134.23,18666.0,A
134.425,134.51,134.27,134.315,24118.0,A
134.53,134.545,134.32,134.33,9581.0,A
134.315,134.525,134.27,134.525,15009.0,A
134.51,134.54,134.25,134.26,13500.0,A
134.7,134.875,134.55,134.6,27779.0,A
134.715,134.79,134.69,134.72,14798.0,A
134.56,134.68,134.55,134.63,7047.0,A
134.73,134.785,134.48,134.53,9134.0,A
134.7419,134.81,134.71,134.74,8971.0,A
134.76,134.76,134.54,134.745,15836.0,A
134.615,134.69,134.55,134.675,17130.0,A
134.51,134.6445,134.4401,134.6,14143.0,A
134.42,134.505,134.32,134.505,13386.0,A
134.52,134.52,134.39,134.445,8192.0,A
134.23,134.45,134.22,134.45,8649.0,A
134.335,134.335,134.24,134.3299,5746.0,A
134.23,134.34,134.17,134.335,6773.0,A
134.4,134.45,134.23,134.23,10538.0,A
134.47,134.4786,134.41,134.43,6237.0,A
134.57,134.63,134.43,134.43,6938.0,A
134.555,134.73,134.51,134.59,10784.0,A
134.44,134.62,134.42,134.555,8772.0,A
134.4,134.51,134.33,134.43,10483.0,A
134.4886,134.4886,134.3,134.395,7096.0,A
134.63,134.63,134.41,134.41,13677.0,A
134.61,134.67,134.59,134.59,4772.0,A
134.7,134.73,134.56,134.65,16263.0,A
134.99,134.99,134.7,134.71,9377.0,A
135.01,135.0999,135.0,135.0,5288.0,A
135.18,135.18,135.0,135.035,12073.0,A
135.05,135.19,135.0,135.19,6457.0,A
135.27,135.27,135.01,135.07,10101.0,A
135.21,135.31,135.13,135.21,7043.0,A
135.01,135.24,134.83,135.16,9320.0,A
134.99,135.05,134.96,134.96,6852.0,A
135.26,135.335,135.01,135.015,9495.0,A
135.37,135.4463,135.27,135.27,9609.0,A
135.535,135.5939,135.34,135.34,16543.0,A
135.52,135.61,135.45,135.48,8668.0,A
135.61,135.79,135.52,135.52,10206.0,A
135.745,135.9,135.64,135.66,18402.0,A
135.87,136.03,135.66,135.745,25077.0,A
135.94,136.03,135.85,135.92,7797.0,A
135.88,136.07,135.84,135.94,21064.0,A
135.66,135.94,135.49,135.87,20234.0,A
135.55,135.7,135.36,135.585,33790.0,A
136.085,136.13,135.6,135.6,22698.0,A
135.48,136.185,135.46,136.08,38393.0,A
135.27,135.57,135.09,135.44,86680.0,A
135.13,135.33,135.01,135.2,26229.0,A
134.04,135.16,134.04,135.135,40247.0,A
134.31,134.43,133.94,134.0425,16333.0,A
134.355,134.75,134.27,134.28,23407.0,A
134.28,134.455,134.14,134.355,11585.0,A
134.86,134.86,134.36,134.36,11990.0,A
134.67,135.095,134.27,134.93,46592.0,A
134.51,134.73,134.01,134.575,45504.0,A
134.9,135.5,134.9,135.5,7.0,A
134.72,135.3,134.71,134.75,202.0,A
135.5323,135.5323,135.5323,135.5323,1.0,A
135.6,135.6,135.6,135.6,1.0,A
135.3,135.3,135.3,135.3,1.0,A
135.08,135.08,135.08,135.08,4.0,A
135.3,135.3,135.29,135.29,15.0,A
135.3,135.3,135.3,135.3,2.0,A
135.02,135.1,135.02,135.1,7.0,A
135.5,135.5,135.01,135.01,2.0,A
135.21,135.5,135.21,135.5,2.0,A
