Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
SMCI,57.29999923706055,33551880192.0,28.506618,2.01,,,,122.9,17.25,1.297,84278904.0,74850105.0,Technology,Computer Hardware
NVDA,139.22999572753906,3389171171328.0,54.699604,2.53,60922000000.0,29760000000.0,0.03,153.13,74.22,1.619,66644472.0,242071830.0,Technology,Semiconductors
INTC,24.8799991607666,107730395136.0,,-4.38,53101000000.0,-18756000000.0,2.24,46.63,18.51,1.074,71490087.0,86516555.0,Technology,Semiconductors
RGTI,11.395000457763672,3191158272.0,,-0.37,12008000.0,-75107000.0,,21.42,0.66,1.265,55980612.0,157917132.0,Technology,Computer Hardware
PLTR,100.26000213623047,235204657152.0,527.81635,0.19,2865507000.0,462190000.0,,125.41,20.33,2.811,144509279.0,85297761.0,Technology,Software - Infrastructure
GRAB,4.784999847412109,19289329664.0,,-0.02,2359000000.0,-434000000.0,,5.72,2.98,0.902,44997858.0,32714852.0,Technology,Software - Application
LCID,3.2184998989105225,9693123584.0,,-1.33,595271000.0,-2828420000.0,,4.43,1.93,0.939,55371257.0,87319062.0,Consumer Cyclical,Auto Manufacturers
TSLA,353.830810546875,1138133434368.0,171.767,2.06,97690000000.0,7130000000.0,,488.54,138.8,2.336,26053884.0,80481715.0,Consumer Cyclical,Auto Manufacturers
RXRX,10.146900177001953,3964616960.0,,-1.54,43876000.0,-328066000.0,,15.74,5.6,0.859,27354941.0,21075737.0,Healthcare,Biotechnology
HIMS,62.7599983215332,13711741952.0,142.63637,0.44,872000000.0,-23546000.0,,72.98,9.25,1.35,17367699.0,15296479.0,Consumer Defensive,Household & Personal Products
BBAI,6.929999828338623,1743269120.0,,-0.78,155164000.0,-60366000.0,,10.36,1.165,2.919,35031439.0,61226411.0,Technology,Information Technology Services
BBD,2.1449999809265137,21751156736.0,9.326087,0.23,100274212000.0,14251329000.0,8.5,2.98,1.84,0.638,6572618.0,43828574.0,Financial Services,Banks - Regional
SOUN,10.856499671936035,4269872128.0,,-0.35,45873000.0,-88937000.0,,24.98,3.5,2.732,17184860.0,76624491.0,Technology,Software - Application
F,9.313599586486816,36913987584.0,6.3791776,1.46,184992000000.0,5879000000.0,8.03,14.85,9.1,1.644,15929053.0,67358391.0,Consumer Cyclical,Auto Manufacturers
GOLD,18.96500015258789,32839225344.0,15.545082,1.22,12922000000.0,2144000000.0,2.13,21.35,14.27,0.478,8097339.0,20867961.0,Basic Materials,Gold
BAC,45.2599983215332,344467505152.0,14.099688,3.21,98581000000.0,26515000000.0,2.26,48.08,33.37,1.342,20325907.0,33292671.0,Financial Services,Banks - Diversified
NIO,4.34499979019165,9287828480.0,,-1.5,55617933000.0,-21146967000.0,,7.71,3.61,1.681,23366389.0,47133516.0,Consumer Cyclical,Auto Manufacturers
BTG,2.875,3794540032.0,,-0.56,1934272000.0,10097000.0,6.02,3.5,2.2,,22679351.0,21396211.0,Basic Materials,Gold
BABA,137.16000366210938,330832674816.0,28.222221,4.86,941168000000.0,80009000000.0,1.59,144.51,68.36,0.308,75136501.0,20472550.0,Consumer Cyclical,Internet Retail
